name,rating,link,tag,rating_people
星际旅行：下一代 第一季,8.8,https://movie.douban.com/subject/1738970/?from=subject-page,"科幻,美剧,startrek,星际迷航,星舰迷航,美国,StarTrek:TNG,星际旅行",926
星际迷航：再续原初 第一季,8.9,https://movie.douban.com/subject/24735159/?from=subject-page,"科幻,星际迷航,美剧,StarTrek,星际旅行,美国,冒险,经典",180
低俗怪谈 第一季,7.7,https://movie.douban.com/subject/22992200/?from=subject-page,"英剧,恐怖,美剧,EvaGreen,奇幻,2014,英国,Showtime",17399
复生 第一季,8.7,https://movie.douban.com/subject/21973146/?from=subject-page,"英剧,BBC,僵尸,丧尸,英国,迷你剧,2013,科幻",16206
皇家律师  第一季,9.2,https://movie.douban.com/subject/5919662/?from=subject-page,"英剧,律政,BBC,法律,英国,电视剧,2011,女性",23771
福斯特医生 第一季,8.8,https://movie.douban.com/subject/26388908/?from=subject-page,"英剧,英国,家庭,BBC,伦理,人性,婚姻,剧情",39124
美国犯罪故事 第一季,8.7,https://movie.douban.com/subject/26101233/?from=subject-page,"美剧,犯罪,美国,悬疑,剧情,2016,FX,法律",17145
尼克病院 第一季,8.6,https://movie.douban.com/subject/24736837/?from=subject-page,"美剧,美国,2014,剧情,医学,电视剧,医疗,看过的电视剧",3942
百年酒馆,9.3,https://movie.douban.com/subject/26719562/?from=subject-page,"美剧,黑色幽默,美国,喜剧,LouisC.K.,电视剧,2016,LouisCK",22795
双峰 第一季,9.0,https://movie.douban.com/subject/1295526/?from=subject-page,"美剧,大卫·林奇,悬疑,美国,DavidLynch,犯罪,电视剧,1990",14773
利器,8.3,https://movie.douban.com/subject/26252279/?from=subject-page,"美剧,悬疑,HBO,犯罪,美国,惊悚,2018,小说改编",27394
罪夜之奔,8.7,https://movie.douban.com/subject/20558374/?from=subject-page,"美剧,犯罪,HBO,悬疑,美国,剧情,2016,人性",39978
女人帮,7.7,https://movie.douban.com/subject/2077469/?from=subject-page,"美剧,女人帮,Cashmere,女性,看过的电视剧,Mafia,美国,成功女人",8324
吸血鬼日记 第一季,8.4,https://movie.douban.com/subject/3646523/?from=subject-page,"美剧,Vampire,吸血鬼,吸血鬼日记,爱情,美国,电视剧,CW",95070
星际迷航：发现号 第三季,,https://movie.douban.com/subject/30473976/?from=subject-page,"科幻,美剧,星际迷航,StarTrek,太空,经典,美国,时空",
使女的故事 第四季,,https://movie.douban.com/subject/34699655/?from=subject-page,"使女的故事,美剧,女性,反乌托邦,美国,剧情,Hulu,自由",
星际旅行-原初-第2季第26集,9.0,https://movie.douban.com/subject/6530985/?from=subject-page,"科幻,美国,TOS,StarTrek,TV,1960s,电视剧,ST",43
为全人类 第二季,,https://movie.douban.com/subject/34858104/?from=subject-page,"科幻,太空,美剧,剧情,美国,科幻电视剧,罗纳德·D·摩尔,乔尔·金纳曼",
星际旅行：深空九号 第七季,9.1,https://movie.douban.com/subject/20395361/?from=subject-page,"科幻,美剧,StarTrek,美国,电视剧,深空九号,星际迷航,星际旅行",102
星际旅行：动画版 第二季,9.0,https://movie.douban.com/subject/6815924/?from=subject-page,"动画,科幻,美国,1974,星际迷航,StarTrek,电视剧,童年回忆",110
星际旅行：下一代 第二季,9.1,https://movie.douban.com/subject/10527299/?from=subject-page,"科幻,StarTrek,美剧,星际迷航,美国,星际旅行,电视剧,1980s",304
伦敦生活 第一季,8.7,https://movie.douban.com/subject/26838164/?from=subject-page,"英剧,黑色幽默,英国,女性,BBC,喜剧,生活,人性",113984
黑镜 第一季,9.4,https://movie.douban.com/subject/7054120/?from=subject-page,"英剧,黑色幽默,人性,英国,黑暗系,科幻,BBC,电视剧",293527
巴比伦5号：十字军,,https://movie.douban.com/subject/1941403/?from=subject-page,"科幻,美剧,美国电影,美国,电视剧,Babylon5,科幻_电视剧,SciFi",
梅尔罗斯,9.0,https://movie.douban.com/subject/26985973/?from=subject-page,"英剧,卷福,英国,人性,BenedictCumberbatch,剧情,2018,电视剧",79203
是，首相 第一季,9.8,https://movie.douban.com/subject/1441948/?from=subject-page,"英剧,政治讽刺剧,BBC,英国,喜剧,政治,电视剧,黑色幽默",17360
德雷尔一家 第一季,9.1,https://movie.douban.com/subject/26594369/?from=subject-page,"英剧,家庭,英国,温情,生活,自然,剧情,画质赞爆",24567
是，大臣  第一季,9.7,https://movie.douban.com/subject/4937405/?from=subject-page,"英剧,政治讽刺剧,BBC,喜剧,英国,政治,黑色幽默,电视剧",25632
布莱克书店 第一季,9.1,https://movie.douban.com/subject/1482132/?from=subject-page,"英剧,喜剧,英国,BBC,情景喜剧,荒诞,电视剧,黑色幽默",45617
了不起的麦瑟尔夫人 第四季,,https://movie.douban.com/subject/34914769/?from=subject-page,"女性,美剧,喜剧,美国,必看,2020,脱口秀,电视剧",
流言 第一季,7.4,https://movie.douban.com/subject/1951485/?from=subject-page,"美剧,Dirt,看过的电视剧,美国,莫尼卡,电视剧,英语标签,Monica",3416
绝命毒师  第五季,9.6,https://movie.douban.com/subject/6952149/?from=subject-page,"美剧,犯罪,毒品,美国,剧情,人性,AMC,致命毒师",105149
真爱如血  第二季,8.2,https://movie.douban.com/subject/3686352/?from=subject-page,"美剧,吸血鬼,HBO,Vampire,看过的电视剧,美国,电视剧,英语标签",12572
丑女贝蒂 第一季,7.8,https://movie.douban.com/subject/1889299/?from=subject-page,"美剧,喜剧,Betty,励志,美国,Ugly,电视剧,看过的电视剧",19573
星际旅行：下一代 第四季,9.3,https://movie.douban.com/subject/11498795/?from=subject-page,"科幻,美剧,StarTrek,美国,星际迷航,电视剧,星际旅行,startrek",226
初代吸血鬼 第一季,7.9,https://movie.douban.com/subject/22027619/?from=subject-page,"美剧,吸血鬼,Vampire,美国,看过的电视剧,CW,2013,电视剧",14485
